,Model.farm_code,Model.farm_name,Model.examin_datetm,Model.avg_prbrd,Model.avg_lgdiamtr,Model.avg_frut_wt,Model.avg_flsh_wgh,Model.avg_flsh_rate,Model.avg_frsk_one,Model.avg_brx,Model.avg_prcn,Model.avg_brx_prcn_rate,과일
620,07,무릉,2021-10-01,54.9,45.1,75.0,63.3,84.4,1.8,8.0,1.1,7.7,감귤
621,07,무릉,2021-10-15,55.9,45.7,78.8,66.0,83.7,2.0,9.1,1.0,9.5,감귤
622,07,무릉,2021-11-01,60.3,46.4,90.6,74.0,81.8,2.2,9.8,0.9,10.6,감귤
623,07,무릉,2021-11-15,57.6,44.8,81.3,65.5,80.6,2.3,10.6,1.0,11.2,감귤
624,07,무릉,2021-11-25,60.5,46.8,88.3,70.1,79.4,2.4,10.9,0.9,11.8,감귤
625,09,하원,2021-08-01,38.0,34.7,26.1,18.5,71.0,2.6,6.8,3.3,2.0,감귤
626,09,하원,2021-08-15,41.4,37.4,34.0,25.7,75.5,2.4,7.3,3.0,2.4,감귤
627,09,하원,2021-09-01,46.5,41.4,48.3,39.3,81.2,2.0,6.8,1.6,4.3,감귤
628,09,하원,2021-09-15,49.9,43.6,57.2,47.0,82.2,1.9,7.3,1.3,5.6,감귤
629,09,하원,2021-10-01,53.8,43.7,68.0,56.9,83.6,1.7,8.0,1.1,7.5,감귤
630,09,하원,2021-10-15,54.4,43.1,70.9,59.2,83.5,1.7,8.9,0.9,10.0,감귤
631,09,하원,2021-11-01,55.3,43.8,73.5,61.0,83.1,2.0,9.9,0.9,10.9,감귤
632,09,하원,2021-11-15,56.8,43.8,76.5,62.7,81.9,2.1,10.3,0.9,11.7,감귤
633,09,하원,2021-11-25,55.9,44.6,77.5,62.9,81.2,2.1,10.9,1.0,11.8,감귤
634,12,덕천,2021-08-01,42.4,38.0,36.3,24.6,67.7,3.1,6.7,3.8,1.8,감귤
635,12,덕천,2021-08-15,46.4,42.7,46.4,33.6,72.3,3.2,6.6,3.4,2.0,감귤
636,12,덕천,2021-09-01,51.8,46.5,66.0,52.9,80.1,2.1,6.6,2.2,3.0,감귤
637,12,덕천,2021-09-15,57.4,50.7,84.7,68.9,81.3,2.3,6.9,1.7,4.1,감귤
638,12,덕천,2021-10-01,60.5,50.0,99.4,81.8,82.3,2.2,7.4,1.2,6.1,감귤
639,12,덕천,2021-10-15,64.0,53.7,113.9,94.4,82.9,2.1,8.1,1.0,8.5,감귤
640,12,덕천,2021-11-01,64.4,52.5,116.4,95.5,82.0,2.2,8.6,0.9,9.4,감귤
641,12,덕천,2021-11-15,65.5,55.3,122.6,100.0,81.5,2.4,8.6,0.9,10.0,감귤
642,12,덕천,2021-11-25,68.5,53.1,125.6,100.5,80.0,2.7,9.5,0.9,10.9,감귤
643,14,신촌,2021-08-01,41.9,37.3,35.5,25.6,72.0,2.8,6.5,3.4,2.0,감귤
644,14,신촌,2021-08-15,46.2,41.9,45.7,33.9,74.1,2.9,7.0,3.1,2.3,감귤
645,14,신촌,2021-09-01,50.7,45.2,60.9,48.7,80.0,2.3,7.0,1.9,3.7,감귤
646,14,신촌,2021-09-15,54.5,46.2,70.2,57.0,81.2,2.3,7.2,1.6,4.6,감귤
647,14,신촌,2021-10-01,57.4,48.9,84.5,71.0,84.0,1.9,7.6,1.2,6.5,감귤
648,14,신촌,2021-10-15,59.5,48.9,91.9,76.3,83.0,1.9,8.0,1.0,8.4,감귤
649,14,신촌,2021-11-01,61.3,49.1,98.6,80.6,81.7,2.3,8.6,1.0,8.8,감귤
650,14,신촌,2021-11-15,62.4,47.4,97.0,78.8,81.2,2.1,8.4,1.0,8.9,감귤
651,14,신촌,2021-11-25,59.4,46.9,88.1,70.3,79.8,2.5,9.6,0.9,10.3,감귤
652,16,금악,2021-08-01,41.4,38.6,33.3,22.5,67.8,3.2,7.3,3.8,2.0,감귤
