,상품명,한달판매량
148,무농약 제주감귤 5kg,
149,[농협청과33번] 대봉감 10kg 40과내,
150,[산지직송][산들네]껍질째먹는 경북 세척꼬마사과3kg(18-22과내),"3,069개 구매"
151,[산지직송] 알록달록 컬러방울토마토 2kg / GAP인증,
152,냉동딸기 500g x 2봉,22개 구매
153,[CJ프레시웨이] A등급 냉동 블루베리 1kg x 3개 / 총 3kg,95개 구매
154,(민수팜)새벽수확 신선하고 맛있는 수박 5kg,296개 구매
155,동결건조 국산 사과칩 24G(봉),월 29개 구매
156,Dole 하프컷 살구 550G,월 78개 구매
157,꿀먹은 국산 도라지 말랭이 40G(봉),월 77개 구매
158,대봉시 곶감 400G (팩) 6입내외,월 45개 구매
159,제주 감귤칩 50G(봉),월 28개 구매
160,국산 흑마늘 말랭이 90G(봉),월 59개 구매
161,Dole 후룻바틀 파인 666G,월 24개 구매
162,욱이삼촌 가정용 못난이 꿀맛 부사 중소 9kg(38-43과),
163,욱이삼촌 가정용 못난이 꿀맛 부사 중과 9kg(30-37과),
164,욱이삼촌 가정용 못난이 꿀맛 부사 대과 9kg(20-29과),
165,욱이삼촌 가정용 못난이 꿀맛 부사 꼬마 3kg(21-25과),
166,욱이삼촌 가정용 못난이 꿀맛 부사 소과 3kg(18-20과),
167,욱이삼촌 가정용 못난이 꿀맛 부사 간식 3kg(15-17과),
168,욱이삼촌 가정용 못난이 꿀맛 부사 중소 3kg(12-14과),
169,욱이삼촌 가정용 못난이 꿀맛 부사 중과 3kg(9-11과),
170,욱이삼촌 가정용 못난이 꿀맛 부사 대과 3kg(5-8과),
171,욱이삼촌 가정용 못난이 꿀맛 부사 꼬마 4.5kg(29-32과),
172,욱이삼촌 가정용 못난이 꿀맛 부사 소과 4.5kg(25-28과),
173,욱이삼촌 가정용 못난이 꿀맛 부사 간식 4.5kg(22-24과),
174,욱이삼촌 가정용 못난이 꿀맛 부사 중소 4.5kg(19-21과),
175,욱이삼촌 가정용 못난이 꿀맛 부사 중과 4.5kg(15-18과),
176,욱이삼촌 가정용 못난이 꿀맛 부사 대과 4.5kg(10-14과),
177,욱이삼촌 가정용 못난이 꿀맛 부사 꼬마 9kg(58-70과),
178,욱이삼촌 가정용 못난이 꿀맛 부사 소과 9kg(50-57과),
179,욱이삼촌 가정용 못난이 꿀맛 부사 간식 9kg(44-49과),
180,[참다올] 제철 부드러운 대봉감 2kg(4개입x2),
181,[참다올] 제철 부드러운 대봉감 1kg 4개입,
182,[참다올] 제철 부드러운 대봉감 4.5kg내외(10-20개),
183,[참다올] 제철 아삭한 사과 10kg(41-50개),
184,[참다올] 제철 아삭한 사과 10kg(30-40개),
185,[참다올] 제철 아삭한 사과 5kg내외(21-25개),
186,[참다올] 제철 아삭한 5kg내외(15-20개),
187,[웰굿]프리미엄 신선한 메로골드 청자몽 6과(개당375-415g),
188,[웰굿]프리미엄 신선한 메로골드 청자몽 12과(개당375-415g),
189,[웰굿]프리미엄 신선한 메로골드 청자몽 24과(개당375-415g),
190,[웰굿]프리미엄 신선한 메로골드 청자몽 36-40과(개당375-415g),
191,[샵블리][산지직송] 공주 에어프라이 칼집군밤 1kg (대/45~55알 내외),
192,[샵블리][산지직송] 공주 에어프라이 칼집군밤 1kg (특/30~35알 내외),
193,[보성직송] 그린키위 5kg 중(55~60과),
194,[보성직송] 그린키위 5kg 소(61~82과),
195,[보성직송] 골드키위 5kg 특(35~45과),
196,[보성직송] 골드키위 5kg 대(44~54과),
197,[보성직송] 골드키위 5kg 중(55~60과),
198,[보성직송] 골드키위 5kg 소(61~82과),
199,[보성직송] 골드키위 2kg 특(14~17과),
200,[보성직송] 골드키위 2kg 대(18~22과),
201,[보성직송] 골드키위 2kg 중(23~25과),
202,[보성직송] 골드키위 2kg 소(26~32과),
203,국내산 사과 가정용 2kg 중대과 6-8과,
204,국내산 사과 정품 2kg 중대과 6-8과,
205,썬뷰 유기농 건포도 198g 캘리포니아 점보 흑포도 건과일,
206,썬뷰 유기농 건청포도 198g 캘리포니아 점보 건포도 건과일,
207,썬뷰 유기농 건적포도 198g 캘리포니아 점보 건포도 건과일,
208,썬뷰 유기농 건포도 284g 캘리포니아 점보 흑포도 건과일,
209,썬뷰 유기농 건청포도 284g 캘리포니아 점보 건포도 건과일,
210,가을제철 가정용 햇 단감 5kg (16-20과/특과),
211,가을제철 가정용 햇 단감 5kg (21-25과/대과),
212,"타무르데이츠28개입+쇼핑백, 리본 포함 / 만수르 간식 와인안주",
213,대봉감 대봉시 특대과 10kg(26~30과내외),
214,대봉감 대봉시 중대과 10kg(36~40과내외),
215,대봉감 대봉시 특대과 3kg(7~9과내외),
216,제주 감귤 3kg(S~M/로얄과),
217,제주 감귤 3kg(L~2L/대과),
218,제주 감귤 5kg(2S/소과),
219,제주 감귤 5kg(S~M로얄과),
220,2023년산 햇 약단밤 1kg,
221,국내산 무농약 섬바나나 1.5kg,
222,우박 못난이 부사 사과 쥬스용 6kg,
223,우박 못난이 부사 사과 중과-중소과 17-22과 5kg,
224,우박 못난이 부사 사과 소과-꼬마과 23-28과 5kg,
225,우박 못난이 부사 사과 소꼬마과 29-31과 5kg,
226,우박 못난이 부사 사과 중과 6-9과 3kg,
227,우박 못난이 부사 사과 중소과 10-14과 3kg,
228,우박 못난이 부사 사과 소과 15-18과 3kg,1(1건)
229,우박 못난이 부사 사과 중소과 7-9과 2kg,
230,우박 못난이 부사 사과 소과 10-13과 2kg,
231,우박 못난이 부사 사과 꼬마과 14-16과 2kg,
232,식탐대첩 국내산 그린키위 중과 115과 개당85g내외,
233,식탐대첩 국내산 그린키위 중과 60과 개당85g내외,
234,식탐대첩 국내산 그린키위 중과 20과 개당85g내외,
235,식탐대첩 국내산 그린키위 중과 10과 개당85g내외,
236,[산지직송] 경북 부사 사과 정품 4kg(중소과/16-20과),
237,[산지직송] 경북 부사 사과 정품 4kg(소과/22-26과),
238,정품 과일혼합세트 (꿀부사 정품 중소과 5kg + 제주 감귤 정품 로얄과 3kg),
239,정품 과일혼합세트 (꿀부사 정품 중소과 5kg + 제주 감귤 정품 소과 3kg),
240,정품 과일혼합세트 (꿀부사 정품 중소과 5kg + 제주 감귤 정품 대과 3kg),
241,정품 과일혼합세트 (꿀부사 정품 중소과 2kg + 제주 감귤 정품 소과 3kg),
242,정품 과일혼합세트 (꿀부사 정품 중소과 2kg + 제주 감귤 정품 대과 3kg),
243,23년 당도보장 고당도 팬시 엔비사과 가정용 2kg(6과),
244,Fresh 과일혼합세트 (꿀부사 정품 중소과 5kg + 제주 감귤 정품 로얄과 3kg),
245,Fresh 과일혼합세트 (꿀부사 정품 중소과 5kg + 제주 감귤 정품 소과 3kg),
246,Fresh 과일혼합세트 (꿀부사 정품 중소과 5kg + 제주 감귤 정품 대과 3kg),
247,Fresh 과일혼합세트 (꿀부사 정품 중소과 2kg + 제주 감귤 정품 로얄과 3kg),
248,23년 당도보장 고당도 팬시 엔비사과 가정용 2kg(7과),
249,Fresh 과일혼합세트 (꿀부사 정품 중소과 2kg + 제주 감귤 정품 로얄과 3kg),
250,Fresh 과일혼합세트 (꿀부사 정품 중소과 2kg + 제주 감귤 정품 소과 3kg),
251,Fresh 과일혼합세트 (꿀부사 정품 중소과 2kg + 제주 감귤 정품 대과 3kg),
252,23년 당도보장 고당도 팬시 엔비사과 가정용 2kg(8-9과),
253,파네 디저트의 명가 탕후루 제주감귤 145g x 10개,
254,파네 디저트의 명가 탕후루 샤인머스켓 120g x 10개,
255,[샵블리][제주직송]고당도 제주 황금향 가정용 (18과 내외/2.5KG),
256,[샵블리][제주직송]고당도 제주 황금향 가정용 (30과 내외/4.5KG),
257,영암 대봉감 2kg(중과/7-8과),
258,영암 대봉감 2kg(소과/9-10과),
259,정아네식탁 노란박스 세지 메론 1통 개당 1.8-2kg,
260,정아네식탁 노란박스 세지 메론 2통 개당 1.8-2kg,
261,정아네식탁 노란박스 세지 메론 3통 개당 1.8-2kg,
262,제주 정품 감귤 소과 노지 타이백 밀감 5kg,
263,제주 정품 감귤 소과 노지 타이백 밀감 3kg,
264,제주 정품 감귤 로얄과 노지 타이백 밀감 5kg,
265,제주 정품 감귤 로얄과 노지 타이백 밀감 3kg,
266,제주 정품 감귤 대과 노지 타이백 밀감 5kg,
267,제주 정품 감귤 대과 노지 타이백 밀감 3kg,
268,정품 대봉감 영암 장성 땡감 생감 대과 10kg 31-35과,
269,정품 대봉감 영암 장성 땡감 생감 대과 5kg 15-17과,
270,정품 대봉감 영암 장성 땡감 생감 대과 3kg 8-10과,
271,정품 꿀부사 거창 함양사과 대과 5kg 15~17과,
272,정품 꿀부사 거창 함양사과 대과 2kg 6~7과,
273,정품 꿀부사 거창 함양사과 중소과 5kg 22~24과,
274,정품 꿀부사 거창 함양사과 중소과 2kg 8~10과,
275,Fresh 제주 감귤 정품 소과 노지 타이백 밀감 5kg,
276,Fresh 제주 감귤 정품 소과 노지 타이백 밀감 3kg,
277,Fresh 제주 감귤 정품 로얄과 노지 타이백 밀감 5kg,
278,Fresh 제주 감귤 정품 로얄과 노지 타이백 밀감 3kg,
279,Fresh 제주 감귤 정품 대과 노지 타이백 밀감 5kg,
280,Fresh 제주 감귤 정품 대과 노지 타이백 밀감 3kg,
281,Fresh 영암 장성 대봉감 정품 땡감 생감 대과 10kg 31-35과,
282,Fresh 영암 장성 대봉감 정품 땡감 생감 대과 5kg 15-17과,
283,Fresh 영암 장성 대봉감 정품 땡감 생감 대과 3kg 8-10과,
284,Fresh 꿀부사 정품 거창 함양사과 대과 5kg 15~17과,
285,Fresh 꿀부사 정품 거창 함양사과 대과 2kg 6~7과,
286,Fresh 꿀부사 정품 거창 함양사과 중소과 5kg 22~24과,
287,Fresh 꿀부사 정품 거창 함양사과 중소과 2kg 8~10과,
288,식탐대첩 제주 조생감귤 10kg 대과,
289,식탐대첩 제주 조생감귤 10kg 로얄과,
290,식탐대첩 제주 조생감귤 10kg 꼬마,
291,식탐대첩 제주 조생감귤 5kg 대과,
292,식탐대첩 제주 조생감귤 5kg 로얄과,
293,식탐대첩 제주 조생감귤 5kg 꼬마,
294,[가정용]경북 사과 2kg(6-13과),
295,대추 방울 토마토 5kg,
