,상품명,한달판매량
1610,[샵블리][제주직송]고당도 제주 황금향 선물세트 (19~25과/5kg),
1611,[샵블리][제주직송]고당도 제주 프리미엄 황금향 선물세트 (10~15과/3kg)/부직포가방증정,
1612,[샵블리][제주직송]고당도 제주 프리미엄 황금향 선물세트 (19~25과/5kg)/부직포가방증정,
1613,자연지기 프리미엄 과일 2종 선물세트 4.2kg(배4+사과5)/과일선물세트,
1614,자연지기 실속 사과세트 2.5kg내외(과수 9과)/사과선물세트,
1615,자연지기 프리미엄 사과세트 3kg내외(과수 9과)/사과선물세트,
1616,비단고을 프리미엄 나주배 5kg(5~6과내)/선물세트,
1617,비단고을 프리미엄 나주배 7.5kg(11~13과내)/선물세트,
1618,자연에서바로 제주 황금향 선물세트 2.5kg 소과 당도보장 명절선물,
1619,자연에서바로 제주 황금향 선물세트 2.5kg 중과 당도보장 명절선물,
1620,자연에서바로 제주 황금향 선물세트 2.5kg 대과 당도보장 명절선물,
1621,자연에서바로 제주 황금향 선물세트 4.5kg 소과 당도보장 명절선물,
1622,자연에서바로 제주 황금향 선물세트 4.5kg 중과 당도보장 명절선물,
1623,자연에서바로 제주 황금향 선물세트 4.5kg 대과 당도보장 명절선물,
1624,명품상주곶감 명가예찬 선물세트 반건시 곶감 정성1호 보자기동봉,
1625,[웰굿]국내산 프리미엄 달콤한 샤인머스켓 1kg(2수),
1626,[웰굿]국내산 프리미엄 달콤한 샤인머스켓 2kg(4수),
1627,[푸르젠] 산지직송 가정용 나주 신고배 3kg (4~6과),38개 구매
1628,새콤한 수입산 레몬 25개 특대과(개당 140g 내외),
1629,새콤한 수입산 레몬 16개 특대과(개당 140g 내외),
1630,새콤한 수입산 레몬 8개 특대과(개당 140g 내외),
1631,새콤한 수입산 레몬 30개 대과(개당 120g 내외),
1632,새콤한 수입산 레몬 20개 대과(개당 120g 내외),
1633,새콤한 수입산 레몬 10개 대과(개당 120g 내외),
1634,새콤한 수입산 레몬 30개 중과(개당 100g 내외),
1635,새콤한 수입산 레몬 20개 중과(개당 100g 내외),
1636,새콤한 수입산 레몬 10개 중과(개당 100g 내외),
1637,식탐대첩 샤인머스켓 망고포도 약2kg 4-6송이,
1638,식탐대첩 샤인머스켓 망고포도 약1.5kg 3-5송이,
1639,식탐대첩 샤인머스켓 망고포도 약1kg 2-3송이,
1640,[자연원] 바로수박화채 500g x 2팩 (무료배송),17개 구매
1641,[웰굿]국내산 프리미엄 달콤한 샤인머스켓 2kg(2수),
1642,[웰굿]국내산 프리미엄 달콤한 샤인머스켓 2kg(3수),
1643,푸루사 건망고 35g x 8개,
1644,푸루사 건망고 100g x 3개,
1645,푸루사 건망고 100g,
1646,무농약 해남 무화과 4팩 16-20과 총 2kg 내외,
1647,[가락시장 경매 식자재 과일][호주] 네이블오렌지 원박스 88입 17kg내외,
1648,[맛다름][호주] 네이블오렌지 30~33입 5.7kg내외,
1649,[맛다름][호주] 네이블오렌지 20~22입 3.8kg내외,
1650,무농약 해남 무화과 2팩 8-10과 총 1kg 내외,
1651,[KIRKLAND]썬스위트 건자두 1.58kg,
1652,[테일러팜스]테일러 유기농 푸룬 건자두 210g,
1653,웰넛 건포도 500g,
1654,[테일러팜스]테일러 말린 데이츠 190g,
1655,[테일러팜스] 테일러 말린 무화과 190g,
1656,7D망고 (건조망고) 80g x 10봉지,
1657,[KIRKLAND]냉동 딸기 2.72kg,
1658,[KIRKLAND]냉동 블루베리 2.27kg / COSTCO,
1659,[푸른들] 정성담은 과일3종 선물세트 5kg(샤인머스캣+사과+배),
1660,"[웰굿]남양주 명품 먹골배 선물세트 5호(7.5kg,8과,왕특과)",
1661,"[웰굿]남양주 명품 먹골배 선물세트 4호(7.5kg,9과,특대과)",
1662,"[웰굿]남양주 명품 먹골배 선물세트 3호(7.5kg,10과,대과)",
1663,"[웰굿]남양주 명품 먹골배 선물세트 2호(7.5kg,11과,중대과)",
1664,"[웰굿]남양주 명품 먹골배 선물세트(7.5kg,8-10과,대-왕특과)",
1665,"[웰굿]남양주 명품 먹골배 선물세트(7.5kg,10-12과,중-대과)",
1666,"[웰굿]남양주 명품 먹골배 선물세트 1호(7.5kg,12과,중과)",
1667,"[웰굿]프리미엄 사과 배 혼합 선물세트 1호 4.5kg(사과5,배4)",
1668,"[웰굿]프리미엄 사과 배 혼합 선물세트 2호 6kg(사과6,배6)",
1669,"[웰굿]프리미엄 과일 혼합선물세트 1호 4.5kg(사과3,배3,샤인2)",
1670,"[웰굿]프리미엄 과일 혼합선물세트 2호 5.5kg(사과3,배3,샤인3)",
1671,[샵블리]당일수확 고당도 제주 황금향 2.5KG(가정용)/산지직송,
1672,[샵블리]당일수확 고당도 제주 황금향 4.5KG(가정용)/산지직송,
1673,[남도장터]베리굿스 국내산 머스크 메론 8kg 내외 4-5수 (특/개당 1.4-1.7kg),
1674,[남도장터]베리굿스 국내산 머스크 메론 8kg 내외 4-5수 (특/개당 1.4-1.7kg),
1675,[남도장터]베리굿스 국내산 머스크 메론 3수(특/개당 1.4-1.7kg),
1676,[남도장터]베리굿스 국내산 머스크 메론 2수(특/ 개당 1.4-1.7kg),
1677,[남도장터]베리굿스 국내산 머스크 메론 1수(특/개당 1.4-1.7kg),
1678,[초록자연] 고당도 꿀 머스크 멜론 8kg(3수) 국내산,
1679,[초록자연] 고당도 꿀 머스크 멜론 8kg(4수) 국내산,
1680,[초록자연] 고당도 꿀 머스크 멜론 8kg(5수) 국내산,
1681,식탐대첩 국내산 가정용 샤인머스켓 2kg (3-4수),
1682,식탐대첩 국내산 가정용 샤인머스켓 2수 개당 500-850g,
1683,식탐대첩 국내산 가정용 샤인머스켓 1수 개당500-850g,
1684,[참다올]상주전통참숯곶감세트3호,
1685,[산지직송]경북 고당도 정품 샤인머스켓 포도 500g(1송이),
1686,[산지직송]경북 고당도 정품 샤인머스캣 포도 1kg(2송이),39개 구매
1687,[산지직송]경북 고당도 정품 샤인머스켓 포도 2kg(4송이),18개 구매
1688,고당도 호주산 네이블 오렌지 10과 중과(개당 200g내외),
1689,고당도 호주산 네이블 오렌지 15과 중과(개당 200g내외),
1690,고당도 호주산 네이블 오렌지 20과 중과(개당 200g내외),
1691,고당도 호주산 네이블 오렌지 25과 중과(개당 200g내외),
1692,고당도 호주산 네이블 오렌지 30과 중과(개당 200g내외),
1693,고당도 호주산 네이블 오렌지 40과 중과(개당 200g내외),
1694,고당도 호주산 네이블 오렌지 50과 중과(개당 200g내외),
1695,"[웰굿]상주곶감 명품 특건시 선물세트 1호(20과,1.2kg내외)",
1696,"[웰굿]상주곶감 명품 특건시 선물세트 2호(30과,1.6kg내외)",
1697,"[웰굿]상주곶감 명품 특건시 선물세트 3호(40과,2.2kg내외)",
1698,"[웰굿]상주곶감 명품 건시 선물세트 7호(30과,1.6kg내외)",
1699,[자연원] 허니 애플망고 500g x 3팩,
1700,[자연원] 허니 애플망고 500g x 2팩,
1701,[자연원] 허니 블루베리 500g x 3팩,
1702,[자연원] 허니 블루베리 500g x 2팩,
1703,[자연원] 바로수박화채 500g x 1팩,
1704,[자연원] 요거과즙 망고바나나 700g x 1팩,
1705,[자연원] 요거과즙 딸기바나나 700g x 1팩,
1706,[자연원] 허니 애플망고 500g x 1팩,
1707,[자연원] 허니 블루베리 500g x 1팩,
1708,[10+1증정][산지직송] 정성가득 상주곶감 반건시 선물세트 2.1kg(30개입)/총2박스,
1709,[10+1증정][산지직송] 정성가득 상주곶감 반건시 선물세트 1.4kg(20개입)/총2박스,
1710,[10+1증정][산지직송] 정성가득 상주곶감 반건시 선물세트 2.1kg(30개입),
1711,[10+1증정][산지직송] 정성가득 상주곶감 반건시 선물세트 1.4kg(20개입),
1712,제주황금향 3kg 중소과 (7-20과) 가정용,
1713,[과일愛]달콤가득 과일 아보카도 (6과),
1714,[과일愛]달콤가득 과일 제스프리 그린키위 2.4kg,
1715,[과일愛]달콤가득 과일 제스프리 골드키위 2kg,
1716,[과일愛]달콤가득 과일 봉지 후레쉬 라임 1kg,
1717,[과일愛]달콤가득 과일 봉지 후레쉬 레몬 2.2kg,
1718,특사이즈 대봉감을 말려 만든 경남하동 대봉 반건시 곶감 20개입,
1719,스테비아 토마토 완숙 토망고 1kg,16개 구매
1720,[착한식탁]털복숭아 4kg 랜덤과,53개 구매
1721,고당도 샤인머스켓 2kg(3~4수),
1722,고당도 국내산 샤인머스켓 1kg(2수),
1723,[샵블리]산지직송- 하우스 샤인머스켓포도 1kg(상/2수),
1724,[샵블리]산지직송- 하우스 샤인머스켓포도 1kg(특/2수),
1725,[샵블리]산지직송- 하우스 샤인머스켓포도 1.5kg(상/3수),
1726,[샵블리]산지직송- 하우스 샤인머스켓포도 1.5kg(특/3수),
1727,[샵블리]산지직송- 하우스 샤인머스켓포도 2kg(상/4~5수),
1728,[샵블리]산지직송- 하우스 샤인머스켓포도 2kg(특/3~4수),
1729,[샵블리]산지직송- 하우스 샤인머스켓포도 2kg(특상/2~3수),
1730,탄탄 건파인애플 70g,
1731,탄탄 건레몬 슬라이스 70g,
1732,[웰굿]스테비아 청포도 방울토마토 500g,
1733,[웰굿]스테비아 청포도 방울토마토 1kg(500gx2),
1734,[웰굿]스테비아 청포도 방울토마토 2kg(500gx4),
1735,샤인머스캣 2kg 특 2-3수,
1736,샤인머스캣 2kg 특 3-4수,
1737,샤인머스캣 2kg 상 4-5수,
1738,샤인머스캣 1.5kg 특 3수,
1739,샤인머스캣 1.5kg 상 3수,
1740,샤인머스캣 1kg 특 2수,
1741,샤인머스캣 1kg 상 2수,
1742,식탐대첩 고당도 네이블 오렌지 중과10개 약2kg,12개 구매
1743,식탐대첩 고당도 네이블 오렌지 중과15개 약3kg,15개 구매
1744,식탐대첩 고당도 네이블 오렌지 중과20개 약4kg,1(1건)
1745,식탐대첩 고당도 네이블 오렌지 중과30개 약6kg,
1746,식탐대첩 고당도 네이블 오렌지 중과40개 약8kg,
1747,식탐대첩 고당도 네이블 오렌지 중과88개 약17kg,
1748,제주에서 온 족은꾸러미 정기구독 (가입비) [무릉외갓집],
1749,제주도 제주에서 온 족은꾸러미 1개월 (11월) [무릉외갓집],
1750,[착한식탁]가정용 샤인머스켓 2kg (3-5수내외),
1751,[착한식탁]가정용 샤인머스켓 1kg (2-3수내외),
1752,WELL-B 페루 건 카카오닙스 카카오빈 차 건재 3kg,
1753,[착한식탁]황금향 선물세트 4.5kg 26과내외,
1754,[착한식탁]황금향 선물세트 4.5kg 20과내외,
1755,[착한식탁]황금향 선물세트 4.5kg 16과내외,
1756,[착한식탁]황금향 선물세트 1.5kg 8과내외,
1757,[착한식탁]가정용 황금향 4.5kg 중소과 30과내외,
1758,[착한식탁]황금향 선물세트 2.5kg 12과내외,
1759,[착한식탁]가정용 황금향 1.5kg 중소과 10과내외,
1760,[착한식탁]가정용 황금향 2.5kg 중대과 8과내외,
1761,[착한식탁]가정용 황금향 4.5kg 중대과 15과내외,
1762,[착한식탁]가정용 황금향 2.5kg 중소과 18과내외,
1763,[착한식탁]가정용 황금향 1.5kg 중대과 6과내외,
1764,[착한식탁]황금향 선물세트 2.5kg 16과내외,
1765,[착한식탁]황금향 선물세트 2.5kg 8과내외,
1766,[착한식탁]부사 세척사과 실중량 5kg 소과,73개 구매
1767,[착한식탁] 착한 세척 썸머킹 사과 5kg 소과,
1768,[착한식탁] 착한 세척 썸머킹 사과 5kg 꼬마소과,
1769,[착한식탁] 착한 세척 썸머킹 사과 2.5kg 소과,3(1건)
1770,[착한식탁] 착한 세척 썸머킹 사과 2.5kg 꼬마소과,
1771,[착한식탁] 착한 세척 썸머킹 사과 2kg 소과,
1772,[착한식탁] 착한 세척 썸머킹 사과 2kg 꼬마소과,4.5(2건)
1773,[산지직송][산들네] 껍질째 먹는 경북 세척사과 2kg 10과내 x 2(총 4kg),
1774,"타무르데이츠3개입 (쇼핑백, 리본 미포함) / 만수르 간식 와인안주",
1775,"타무르데이츠8개입 (쇼핑백, 리본 미포함) / 만수르 간식 와인안주",
1776,"타무르데이츠14개입 (쇼핑백,리본 미포함) / 만수르 간식 와인안주",
1777,"타무르데이츠28개입 (쇼핑백, 리본 미포함) / 만수르 간식 와인안주",
1778,[산지직송] 2023년 청일 급냉 햇오디 10kg 특품,
1779,[산지직송] 2023년 청일 급냉 햇오디 10kg,
1780,[산지직송] 2023년 청일 급냉 햇오디 5kg 특품,
1781,킨디 크리스프코넛 코코넛칩스 40g X 1봉 크래커,
1782,킨디 크리스프코넛 와사비향 코코넛칩스 40g X 1봉 크래커,
1783,킨디 크리스프코넛 코코넛칩 40g X 12봉 크래커,
1784,킨디 크리스프코넛 코코넛칩 40g X 6봉 크래커,
1785,킨디 크리스프코넛 와사비향 코코넛칩스 40g X 12봉 크래커,
1786,킨디 크리스프코넛 와사비향 코코넛칩스 40g X 6봉 크래커,
1787,대추야자 타무르데이츠 메드줄 / 만수르 간식 와인안주,
1788,대추야자 타무르데이츠 세가이 / 만수르 간식 와인안주,
1789,대추야자 타무르데이츠 사파위 / 만수르 간식 와인안주,
1790,대추야자 타무르데이츠 쿠드리 / 만수르 간식 와인안주,
1791,[제스프리] 골드키위 대과 2kg(9-14과),
1792,오성 촉촉한 밤 70g 20입,
1793,오성 촉촉한 고구마 말랭이 50g 50개,
1794,오성 촉촉한 밤 70g 40입,
1795,오성 촉촉한 밤 70g 10입,
1796,오성 촉촉한 밤 70g 5입,
1797,오성 촉촉한 고구마 말랭이 50g 40개,
1798,오성 촉촉한 고구마 말랭이 50g 10개,11개 구매
1799,[참다올] 청도 달콤하고 시원한 아이스홍시 약 1.4kg(60gx24개),
1800,[참다올] 청도 달콤하고 시원한 아이스홍시 약 1.8kg(60gx38개),
1801,"[참다올] 청도 달콤하고 시원한 아이스홍시 4.8kg(미탈피,100gx36개)",
1802,"[참다올] 청도 달콤하고 시원한 아이스홍시 4.8kg(미탈피,100gx48개)",
1803,[참다올] 청도 달콤하고 시원한 아이스홍시 약 2.8kg(60gx48개),
1804,"[참다올] 청도 달콤하고 시원한 아이스홍시 2.4kg(미탈피,100gx24개)",
1805,[산지직송] 오늘아침 알뜰사과 8kg 33-47과,
1806,[푸르젠]스테비아 대추방울토마토 500g x 4팩,
1807,[푸르젠]스테비아 대추방울토마토 500g x 2팩,
1808,[착한식탁]가정용 부사 사과 7.5kg 꼬마소과,12개 구매
1809,[푸르젠] 레몬 2kg (14~18개),24개 구매
1810,[푸르젠] 레몬 1kg (7~9개),28개 구매
1811,[푸르젠] 청도 반건시 600g + 600g (총1.2kg),
1812,[푸르젠] 청도 반건시 600g,
1813,[푸르젠] 청도 감말랭이 600g + 600g (총1.2kg),
1814,[푸르젠] 청도 감말랭이 600g,5(1건)
1815,[푸르젠] 청도 아이스홍시 1kg x 3봉,
1816,[푸르젠] 청도 아이스홍시 1kg x 2봉,
1817,[푸르젠] 청도 아이스홍시 1kg,
1818,초신선 냉장 미니 파인애플 푸레 500g (생과 2kg기준/4-6개입),5(1건)
1819,초신선 냉장 미니 파인애플 푸레 500gX2팩 (생과 4kg기준/팩당 4-6개입),
1820,초신선 냉장 미니 파인애플 푸레 500gX3팩 (생과 6kg기준/팩당 4-6개입),
1821,초신선 냉장 미니 파인애플 푸레 500gX4팩 (생과 8kg기준/팩당 4-6개입),
1822,[참다올] 국내산 건대추 1kg,
1823,수입산 아보카도 20개 대과 (개당 220g내외),
1824,수입산 아보카도 10개 대과 (개당 220g내외),
1825,수입산 아보카도 5개 대과 (개당 220g내외),
1826,수입산 아보카도 20개 중과 (개당 180g내외),
1827,수입산 아보카도 10개 중과 (개당 180g내외),3(2건)
1828,수입산 아보카도 5개 중과 (개당 180g내외),
1829,"[웰굿][산지직송] 제주 명품 감귤 선물세트 3kg(소과,36과내외)",
1830,"[웰굿][산지직송] 제주 명품 감귤 선물세트 3kg(프리미엄과,30과내외)",
1831,"[웰굿][산지직송] 제주 명품 감귤 선물세트 3kg(로얄과,25과내외)",
1832,"[웰굿][산지직송] 제주 명품 감귤 선물세트 5kg(소과,62과내외)",
1833,"[웰굿][산지직송] 제주 명품 감귤 선물세트 5kg(프리미엄과,53과내외)",
1834,"[웰굿][산지직송] 제주 명품 감귤 선물세트 5kg(로얄과,45과내외)",
1835,통째로 말린 미국산 유기농 건체리 567g,
1836,통째로 말린 미국산 건포도1.02kgX2팩,
1837,통째로 말린 건블루베리 567g,
1838,생과일채로 말려만든 건크랜베리 1.36kg,
1839,델 데스티노 복숭아절임 1.9kg,
1840,식탐대첩 애플청포도 아삭한 씨없는포도 1kg,
1841,식탐대첩 애플청포도 아삭한 씨없는포도 2kg,
1842,식탐대첩 애플청포도 아삭한 씨없는포도 4kg,
1843,대추 방울토마토 2.5kg 대과,
1844,대추 방울토마토 2.5kg 중소과,23개 구매
1845,대추 방울토마토 1kg 대과,
1846,대추 방울토마토 1kg 중소과,21개 구매
1847,완숙 찰토마토 5kg 대과,
1848,완숙 찰토마토 5kg 중과,3(1건)
1849,완숙 찰토마토 5kg 소과,21개 구매
1850,완숙 찰토마토 2kg 대과,
1851,완숙 찰토마토 2kg 중과,
1852,완숙 찰토마토 2kg 소과,19개 구매
1853,식탐대첩 델몬트 바나나 1.3kg내외(1송이),50개 구매
1854,식탐대첩 델몬트 바나나 2.6kg내외(2송이),39개 구매
1855,식탐대첩 팬시레몬 20개(개당100g내외),
1856,식탐대첩 델몬트 바나나 3.9kg내외(3송이),10개 구매
1857,식탐대첩 팬시레몬 25개(개당100g내외),
1858,식탐대첩 델몬트 바나나 5.2kg내외(4송이),
1859,식탐대첩 팬시레몬 30개(개당100g내외),
1860,식탐대첩 팬시레몬 40개(개당100g내외),
1861,식탐대첩 델몬트 바나나 7.8kg내외(6송이),
1862,식탐대첩 팬시레몬 60개(개당100g내외),
1863,식탐대첩 델몬트 바나나 15.6kg내외(12송이),
1864,식탐대첩 팬시레몬 100개(개당100g내외),
1865,식탐대첩 팬시레몬 165개(개당100g내외),
1866,식탐대첩 아보카도 중과 1과 (개당170g내외),
1867,식탐대첩 아보카도 중과 850g 5과 (개당170g내외),
1868,식탐대첩 아보카도 중과 1.2kg 7과 (개당170g내외),
1869,식탐대첩 아보카도 중과 1.7kg 10과 (개당170g내외),
1870,식탐대첩 아보카도 중과 2.5kg 15과 (개당170g내외),
1871,식탐대첩 아보카도 중과 3.4kg 20과 (개당170g내외),
1872,식탐대첩 카라카라 오렌지 중과10개 약2kg,
1873,식탐대첩 카라카라 오렌지 중과20개 약3.8kg,
1874,식탐대첩 카라카라 오렌지 중과25개 약4.7kg,
1875,식탐대첩 카라카라 오렌지 중과30개 약5.7kg,
1876,식탐대첩 카라카라 오렌지 중과40개 약7.6kg,
1877,식탐대첩 카라카라 오렌지 중과50개 약9.5kg,
1878,식탐대첩 카라카라 오렌지 중과60개 약11.4kg,
1879,식탐대첩 카라카라 오렌지 중과88개 약17kg,
1880,식탐대첩 노랑 태국망고 1kg내외 (2-3과),
1881,식탐대첩 노랑 태국망고 2kg내외 (5-7과),
1882,식탐대첩 노랑 태국망고 3kg내외 (7-9과),
1883,식탐대첩 노랑 태국망고 4kg내외 (10-12과),
1884,식탐대첩 제스프리 골드키위 8과 대과(개당110g내외),
1885,식탐대첩 제스프리 골드키위 14과 대과(개당110g내외),
1886,식탐대첩 제스프리 골드키위 24과 대과(개당110g내외),
1887,식탐대첩 제스프리 골드키위 34과 대과(개당110g내외),
1888,식탐대첩 제스프리 골드키위 48과 대과(개당110g내외),
1889,식탐대첩 제스프리 골드키위 8과 중과(개당100g내외),
1890,식탐대첩 제스프리 골드키위 14과 중과(개당100g내외),
1891,식탐대첩 제스프리 골드키위 24과 중과(개당100g내외),
1892,식탐대첩 제스프리 골드키위 34과 중과(개당100g내외),
1893,식탐대첩 제스프리 골드키위 44과 중과(개당100g내외),
1894,식탐대첩 제스프리 골드키위 52과 중과(개당100g내외),
1895,식탐대첩 베트남 백용과 2.5kg (4-6과),
1896,식탐대첩 베트남 백용과 5kg (9-12과),
1897,식탐대첩 국내산 찰토마토 특상품 5kg,
1898,식탐대첩 국내산 찰토마토 특상품 3kg,
1899,식탐대첩 국내산 찰토마토 특상품 1kg,
1900,식탐대첩 불로초 프리미엄 감귤 1.5kg 로얄과 (22-29과),
1901,식탐대첩 국내산 대추방울 토마토 2kg 대과,
1902,식탐대첩 경북 정품 부사사과 5kg (중대과 12-15과),
1903,식탐대첩 경북 정품 부사사과 10kg (중대과 26-30과),
1904,식탐대첩 경북 정품 부사사과 5kg (중과 15-17과),
1905,식탐대첩 경북 정품 부사사과 10kg (중과 31-35과),
1906,식탐대첩 경북 정품 부사사과 5kg (소과 18-20과),
1907,식탐대첩 경북 정품 부사사과 10kg (소과 36-40과),
1908,식탐대첩 정품 돌 바나나 1송이 약1.3kg내외,45개 구매
1909,식탐대첩 정품 돌 바나나 2송이 약2.6kg내외,12개 구매
1910,식탐대첩 정품 돌 바나나 3송이 약3.9kg내외,
1911,식탐대첩 정품 돌 바나나 4송이 약5.2kg내외,
1912,식탐대첩 정품 돌 바나나 6송이 약7.8kg내외,
1913,경북 가정용 못난이 흠집 부사 사과 3kg(15-17과)소과,
1914,경북 가정용 못난이 흠집 부사 사과 3kg(13-14과)간식,
1915,경북 가정용 못난이 흠집 부사 사과 3kg (11-12과내)중과,
1916,식탐대첩 심한 가정용 흠집 주스용 사과 10kg,
1917,경북 가정용 못난이 흠집 부사 사과 3kg (10과내) 대과,
1918,식탐대첩 심한 가정용 흠집 주스용 사과 5kg,
1919,경북 가정용 못난이 흠집 부사 사과 5kg(33-38과)꼬마,
1920,경북 가정용 못난이 흠집 부사 사과 5kg(29-32과)한입,
1921,경북 가정용 못난이 흠집 부사 사과 5kg(26-28과)소과,
1922,경북 가정용 못난이 흠집 부사 사과 5kg(23-25과)간식,
1923,경북 가정용 못난이 흠집 부사 사과 5kg(19-22과)중과,
1924,경북 가정용 못난이 흠집 부사 사과 5kg (18과내)대과,
1925,경북 가정용 못난이 흠집 부사 사과 9kg(56-65과)꼬마,
1926,경북 가정용 못난이 흠집 부사 사과 9kg(50-55과)한입,
1927,경북 가정용 못난이 흠집 부사 사과 9kg(45-49과)소과,
1928,경북 가정용 못난이 흠집 부사 사과 9kg(40-44과)간식,
1929,경북 가정용 못난이 흠집 부사 사과 9kg(30-35과)중과,
1930,경북 가정용 못난이 흠집 부사 사과 9kg (29과내)대과,
1931,후레쉬앤푸드 완숙 찰토마토 5kg 대과,
1932,후레쉬앤푸드 완숙 찰토마토 5kg 중과,
1933,후레쉬앤푸드 완숙 찰토마토 5kg 소과,
1934,후레쉬앤푸드 완숙 찰토마토 2kg 대과,
1935,후레쉬앤푸드 완숙 찰토마토 2kg 중과,
1936,후레쉬앤푸드 완숙 찰토마토 2kg 소과,
1937,WELL-B 페루 건 카카오닙스 카카오빈 차 건재 1kg,
1938,후레쉬앤푸드 완숙 찰토마토 5kg 대과,
1939,후레쉬앤푸드 완숙 찰토마토 5kg 중과,
1940,후레쉬앤푸드 완숙 찰토마토 5kg 소과,5(1건)
1941,후레쉬앤푸드 완숙 찰토마토 2kg 대과,
1942,후레쉬앤푸드 완숙 찰토마토 2kg 중과,
1943,후레쉬앤푸드 완숙 찰토마토 2kg 소과,5(2건)
1944,후레쉬앤푸드 대추 방울토마토 2.5kg 대과,5(1건)
1945,후레쉬앤푸드 대추 방울토마토 2.5kg 중소과,5(1건)
1946,후레쉬앤푸드 대추 방울토마토 1kg 대과,
1947,후레쉬앤푸드 대추 방울토마토 1kg 중소과,12개 구매
1948,미국산 아삭달콤한 애플청포도 1kg x3팩,
1949,미국산 아삭달콤한 애플청포도 1kg x4팩,
1950,해남반시 꿀고구마 말랭이 60g × 10입,
1951,해남반시 꿀고구마 말랭이 60g × 20입,
1952,[참다올] 썬 스위트 건자두 1.58kg,
1953,[착한식탁]바른 부사 세척사과 실중량 2.5kg 꼬마소과,42개 구매
1954,[착한식탁]가정용 부사 사과 7.5kg 중대과,13개 구매
1955,건조크랜베리 (500g),
1956,건포도 (500g),
1957,[착한식탁]가정용 부사 사과 4.5kg 중대과,83개 구매
1958,친환경 상주 감말랭이 1kg,
1959,[산과들에]다크초콜릿건포도 20세트,
1960,[산과들에]다크초콜릿건포도x30봉,
1961,블랙라벨 365팩토리 대추방울토마토 1.5kg,14개 구매
1962,스테비아 방울토마토 500g X4팩,191개 구매
1963,[웰굿]항공직송 태국 골드망고 4kg(8-13과),
1964,[착한식탁]부사 세척사과 실중량 2.5kg 소과,43개 구매
1965,[착한식탁]가정용 부사 사과 9kg 중대과,140개 구매
1966,[착한식탁]가정용 부사 사과 4.5kg 꼬마소과,38개 구매
1967,[웰굿]프리미엄 국내산 멜론 4수 선물세트(8kg내외),
1968,"[웰굿]정성담은 나주배 선물세트 특1호(7.5kg,7-8과,제수용)",
1969,[웰굿]프리미엄 국내산 멜론 2수 선물세트(4kg내외),
1970,망고향 스테비아 레드스윗마토 2kg(500g*4팩),
1971,망고향 스테비아 레드스윗마토 1.5kg(500g*3팩),
1972,망고향 스테비아 레드스윗마토 1kg(500g*2팩),14개 구매
1973,망고향 스테비아 레드스윗마토 500g,
1974,스테비아 흑 대추방울토망고 블랙스윗마토 2kg(500g*4팩),18개 구매
1975,스테비아 흑 대추방울토망고 블랙스윗마토 1.5kg(500g*3팩),
1976,스테비아 흑 대추방울토망고 블랙스윗마토 1kg(500g*2팩),43개 구매
1977,스테비아 흑 대추방울토망고 블랙스윗마토 500g,
1978,스테비아 대추 방울토마토 토망고 1kg(500g*2팩),195개 구매
1979,산지직송 곡성 머스크멜론(메론) 특품 8kg내외 5수,
1980,산지직송 곡성 머스크멜론(메론) 특품 8kg내외 4수,
1981,산지직송 곡성 머스크멜론(메론) 특품 8kg내외 3수,
1982,산지직송 곡성 머스크멜론(메론) 특품 3.7kg내외 2수,
1983,산지직송 곡성 머스크멜론(메론) 특품 4kg내외 3수,
1984,[더싱싱]담백한 칼집 약단밤 500g,
1985,[무료배송]노오란 칼집 약단밤 1kg,39개 구매
1986,[GAP]가정용 나주배 5kg(11-12과),
1987,[GAP]가정용 나주배 3kg(4-6과),
1988,[GAP]정품 나주배 5kg(8-10과),
1989,[GAP]가정용 나주배 5kg(5-7과),
1990,[GAP]가정용 나주배 5kg(8-10과),
1991,[GAP]나주배 선물세트 7.5kg (7-10과),
1992,[GAP]나주배 선물세트 7.5kg (11-12과),
1993,[GAP]나주배 선물세트 5kg (5-7과),
1994,[GAP]나주배 선물세트 5kg (8-10과),
1995,국내산 옥광밤 대 1kg,
1996,국내산 완숙 토마토 소과 5kg (5번과 개당중량 50~100g),
1997,국내산 완숙 토마토 로얄과 5kg (3번과 개당중량 140~250g),
1998,국내산 완숙 토마토 로얄과 3kg (3번과 개당중량 140~250g),11개 구매
1999,과즙듬뿍 나주 햇 신고배 3kg(4~6개),
2000,아삭 시원한 가정용 나주 신고배 3kg(4~6개),5(1건)
2001,프리미엄 베트남 용과 생과 2.5kg 대과(5~6과),
2002,프리미엄 베트남 용과 생과 5kg 대과(9~12과),
2003,"[웰굿][산지직송] 하동 고당도 골드키위5kg(41-50개,특과)",
2004,부사 세척사과 일반 소과 5kg,
2005,부사 세척사과 일반 소과 3kg,
2006,부사 세척사과 일반 중과 3kg,
2007,미각기행 공주 정안 알밤 2kg (대) ★선물박스★,
2008,미각기행 공주 정안 알밤 4kg (대) ★선물박스★,
2009,미각기행 공주 정안 알밤 2kg (특) ★선물박스★,
2010,미각기행 공주 정안 알밤 4kg (특) ★선물박스★,
2011,부사 일반용-소과 5kg,
2012,부사 일반용-중과 5kg,
2013,부사 일반용-대과 5kg,
2014,부사 일반용-소과 3kg,
2015,부사 일반용-중과 3kg,
2016,부사 일반용-대과 3kg,
2017,부사 일반용-소과 2kg,
2018,부사 일반용-중과 2kg,
